date,time,app
2022-07-11,09:09:40,C1 - WordPad
2022-07-11,09:09:41,C1 - WordPad
2022-07-11,09:09:42,C1 - WordPad
2022-07-11,09:09:43,C1 - WordPad
2022-07-11,09:09:44,C1 - WordPad
2022-07-11,09:09:45,C1 - WordPad
2022-07-11,09:09:46,C1 - WordPad
2022-07-11,09:09:47,C1 - WordPad
2022-07-11,09:09:48,C1 - WordPad
2022-07-11,09:09:49,C1 - WordPad
2022-07-11,09:09:50,C1 - WordPad
2022-07-11,09:09:51,C1 - WordPad
2022-07-11,09:09:52,C1 - WordPad
2022-07-11,09:09:53,C1 - WordPad
2022-07-11,09:09:54,C1 - WordPad
2022-07-11,09:09:55,C1 - WordPad
2022-07-11,09:09:56,C1 - WordPad
2022-07-11,09:09:57,C1 - WordPad
2022-07-11,09:09:58,C1 - WordPad
2022-07-11,09:09:59,C1 - WordPad
2022-07-11,09:10:00,C1 - WordPad
2022-07-11,09:10:01,C1 - WordPad
2022-07-11,09:10:02,C1 - WordPad
2022-07-11,09:10:03,C1 - WordPad
2022-07-11,09:10:04,C1 - WordPad
2022-07-11,09:10:05,C1 - WordPad
2022-07-11,09:10:06,C1 - WordPad
2022-07-11,09:10:07,C1 - WordPad
2022-07-11,09:10:08,C1 - WordPad
2022-07-11,09:10:09,C1 - WordPad
2022-07-11,09:10:10,C1 - WordPad
2022-07-11,09:10:12,C1 - WordPad
2022-07-11,09:10:13,C1 - WordPad
2022-07-11,09:10:14,C1 - WordPad
2022-07-11,09:10:15,C1 - WordPad
2022-07-11,09:10:16,C1 - WordPad
2022-07-11,09:10:17,C1 - WordPad
2022-07-11,09:10:18,C1 - WordPad
2022-07-11,09:10:19,C1 - WordPad
2022-07-11,09:10:20,C1 - WordPad
2022-07-11,09:10:21,C1 - WordPad
2022-07-11,09:10:22,C1 - WordPad
2022-07-11,09:10:23,C1 - WordPad
2022-07-11,09:10:24,C1 - WordPad
2022-07-11,09:10:25,C1 - WordPad
2022-07-11,09:10:26,C1 - WordPad
2022-07-11,09:10:27,C1 - WordPad
